match_id,player1,player2,winner,player1_score,player2_score,match_timestamp
1,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:20.304778
2,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:12:21.411475
3,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:22.656607
4,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:23.574950
5,RandomAI,MinimaxAI-Hard,RandomAI,4,3,2025-06-04T00:12:24.264817
6,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:24.990378
7,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:25.861400
8,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:12:26.711253
9,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:27.678888
10,RandomAI,MinimaxAI-Hard,RandomAI,4,3,2025-06-04T00:12:28.871202
11,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:12:29.711186
12,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:12:30.409393
13,RandomAI,MinimaxAI-Hard,RandomAI,4,3,2025-06-04T00:12:31.338876
14,RandomAI,MinimaxAI-Hard,RandomAI,4,3,2025-06-04T00:12:32.676226
15,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:33.654603
16,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:34.648314
17,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:35.249054
18,RandomAI,MinimaxAI-Hard,RandomAI,4,3,2025-06-04T00:12:36.325599
19,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:12:37.462335
20,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:38.285521
21,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:39.036464
22,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:39.957132
23,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:40.809449
24,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:41.519826
25,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:12:42.387700
26,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:43.129063
27,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:43.824077
28,RandomAI,MinimaxAI-Hard,RandomAI,4,3,2025-06-04T00:12:45.086859
29,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:12:45.781946
30,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:12:46.588633
31,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:12:47.489073
32,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:48.494279
33,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:49.413253
34,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:12:50.169580
35,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:51.091617
36,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:51.697368
37,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,4,2025-06-04T00:12:52.599057
38,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:53.220422
39,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:12:53.635379
40,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:12:54.458379
41,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:55.212255
42,RandomAI,MinimaxAI-Hard,RandomAI,4,1,2025-06-04T00:12:56.177167
43,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:57.041695
44,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:12:58.011103
45,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:12:58.935530
46,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:12:59.904232
47,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:00.838957
48,RandomAI,MinimaxAI-Hard,RandomAI,4,1,2025-06-04T00:13:01.809526
49,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:13:02.565549
50,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:13:03.479765
51,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:04.157164
52,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:13:04.930668
53,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:13:06.287141
54,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:13:07.242188
55,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:13:07.954220
56,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:13:08.728573
57,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:09.737997
58,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:13:10.635073
59,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:13:11.408564
60,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:12.172735
61,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,2,2025-06-04T00:13:12.866690
62,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-04T00:13:13.836371
63,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:13:14.722510
64,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:15.448180
65,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:15.998895
66,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-04T00:13:16.785663
