match_id,player1,player2,winner,player1_score,player2_score,match_timestamp
1,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-03T23:56:47.306380
2,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-03T23:56:48.191595
3,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-03T23:56:49.055146
4,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-03T23:56:50.169926
5,RandomAI,MinimaxAI-Hard,RandomAI,2,1,2025-06-03T23:56:51.060122
6,RandomAI,MinimaxAI-Hard,RandomAI,3,2,2025-06-03T23:56:52.129779
7,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-03T23:56:53.463100
8,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,1,4,2025-06-03T23:56:54.526035
9,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-03T23:56:55.559610
10,RandomAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-03T23:56:56.507054
11,RandomAI,MCTSAI,RandomAI,3,2,2025-06-03T23:57:06.415812
12,RandomAI,MCTSAI,RandomAI,3,2,2025-06-03T23:57:13.010391
13,RandomAI,MCTSAI,RandomAI,3,2,2025-06-03T23:57:20.972813
14,RandomAI,MCTSAI,RandomAI,2,1,2025-06-03T23:57:28.521611
15,RandomAI,MCTSAI,RandomAI,3,2,2025-06-03T23:57:32.953415
16,RandomAI,MCTSAI,RandomAI,2,1,2025-06-03T23:57:38.354351
17,RandomAI,MCTSAI,RandomAI,4,3,2025-06-03T23:57:44.621446
18,RandomAI,MCTSAI,RandomAI,3,2,2025-06-03T23:57:51.657416
19,RandomAI,MCTSAI,RandomAI,2,1,2025-06-03T23:57:56.325063
20,RandomAI,MCTSAI,RandomAI,3,2,2025-06-03T23:58:01.640204
21,RandomAI,DQNAI-Advanced,RandomAI,3,2,2025-06-03T23:58:01.651229
22,RandomAI,DQNAI-Advanced,DQNAI-Advanced,2,3,2025-06-03T23:58:01.652576
23,RandomAI,DQNAI-Advanced,RandomAI,2,1,2025-06-03T23:58:01.654628
24,RandomAI,DQNAI-Advanced,DQNAI-Advanced,2,5,2025-06-03T23:58:01.656876
25,RandomAI,DQNAI-Advanced,RandomAI,4,3,2025-06-03T23:58:01.657911
26,RandomAI,DQNAI-Advanced,RandomAI,3,2,2025-06-03T23:58:01.660430
27,RandomAI,DQNAI-Advanced,DQNAI-Advanced,2,3,2025-06-03T23:58:01.661434
28,RandomAI,DQNAI-Advanced,RandomAI,3,2,2025-06-03T23:58:01.663939
29,RandomAI,DQNAI-Advanced,RandomAI,3,2,2025-06-03T23:58:01.665633
30,RandomAI,DQNAI-Advanced,RandomAI,3,2,2025-06-03T23:58:01.668869
31,RandomAI,EvolvedStrategicAI-Best,RandomAI,3,2,2025-06-03T23:58:01.740746
32,RandomAI,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,2,2025-06-03T23:58:01.832542
33,RandomAI,EvolvedStrategicAI-Best,RandomAI,2,1,2025-06-03T23:58:01.922372
34,RandomAI,EvolvedStrategicAI-Best,RandomAI,2,1,2025-06-03T23:58:01.991919
35,RandomAI,EvolvedStrategicAI-Best,RandomAI,3,2,2025-06-03T23:58:02.063172
36,RandomAI,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,2,2025-06-03T23:58:02.142011
37,RandomAI,EvolvedStrategicAI-Best,RandomAI,4,3,2025-06-03T23:58:02.245100
38,RandomAI,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,2,2025-06-03T23:58:02.286891
39,RandomAI,EvolvedStrategicAI-Best,RandomAI,3,2,2025-06-03T23:58:02.387930
40,RandomAI,EvolvedStrategicAI-Best,RandomAI,3,2,2025-06-03T23:58:02.481916
41,MinimaxAI-Hard,RandomAI,MinimaxAI-Hard,2,1,2025-06-03T23:58:03.179072
42,MinimaxAI-Hard,RandomAI,RandomAI,2,3,2025-06-03T23:58:03.738639
43,MinimaxAI-Hard,RandomAI,MinimaxAI-Hard,2,1,2025-06-03T23:58:04.387943
44,MinimaxAI-Hard,RandomAI,RandomAI,3,4,2025-06-03T23:58:05.018495
45,MinimaxAI-Hard,RandomAI,RandomAI,2,3,2025-06-03T23:58:05.605160
46,MinimaxAI-Hard,RandomAI,MinimaxAI-Hard,4,3,2025-06-03T23:58:06.124575
47,MinimaxAI-Hard,RandomAI,MinimaxAI-Hard,3,2,2025-06-03T23:58:06.722510
48,MinimaxAI-Hard,RandomAI,RandomAI,2,3,2025-06-03T23:58:07.263892
49,MinimaxAI-Hard,RandomAI,MinimaxAI-Hard,3,2,2025-06-03T23:58:07.605732
50,MinimaxAI-Hard,RandomAI,RandomAI,1,2,2025-06-03T23:58:08.476310
51,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,3,2,2025-06-03T23:58:17.384996
52,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,2,1,2025-06-03T23:58:22.816839
53,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,4,3,2025-06-03T23:58:31.275054
54,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,4,3,2025-06-03T23:58:38.115388
55,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,4,3,2025-06-03T23:58:44.795466
56,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,3,2,2025-06-03T23:58:49.923946
57,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,4,3,2025-06-03T23:59:01.095904
58,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,2,1,2025-06-03T23:59:09.746930
59,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,4,3,2025-06-03T23:59:17.111458
60,MinimaxAI-Hard,MCTSAI,MinimaxAI-Hard,4,3,2025-06-03T23:59:28.722755
61,MinimaxAI-Hard,DQNAI-Advanced,DQNAI-Advanced,3,4,2025-06-03T23:59:29.907027
62,MinimaxAI-Hard,DQNAI-Advanced,MinimaxAI-Hard,3,2,2025-06-03T23:59:30.857515
63,MinimaxAI-Hard,DQNAI-Advanced,DQNAI-Advanced,2,3,2025-06-03T23:59:32.058432
64,MinimaxAI-Hard,DQNAI-Advanced,DQNAI-Advanced,2,3,2025-06-03T23:59:33.244851
65,MinimaxAI-Hard,DQNAI-Advanced,MinimaxAI-Hard,3,2,2025-06-03T23:59:34.389995
66,MinimaxAI-Hard,DQNAI-Advanced,DQNAI-Advanced,2,3,2025-06-03T23:59:35.376125
67,MinimaxAI-Hard,DQNAI-Advanced,MinimaxAI-Hard,3,2,2025-06-03T23:59:36.245139
68,MinimaxAI-Hard,DQNAI-Advanced,MinimaxAI-Hard,4,3,2025-06-03T23:59:37.221117
69,MinimaxAI-Hard,DQNAI-Advanced,MinimaxAI-Hard,4,3,2025-06-03T23:59:38.468657
70,MinimaxAI-Hard,DQNAI-Advanced,DQNAI-Advanced,3,4,2025-06-03T23:59:39.422059
71,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:40.846847
72,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:42.215002
73,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:43.597867
74,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:44.854566
75,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:45.989372
76,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:47.686026
77,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:49.307490
78,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:50.573747
79,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:51.444337
80,MinimaxAI-Hard,EvolvedStrategicAI-Best,EvolvedStrategicAI-Best,1,4,2025-06-03T23:59:52.288430
81,MCTSAI,RandomAI,RandomAI,2,3,2025-06-03T23:59:57.145313
82,MCTSAI,RandomAI,RandomAI,2,3,2025-06-04T00:00:03.870972
83,MCTSAI,RandomAI,RandomAI,1,4,2025-06-04T00:00:13.760399
84,MCTSAI,RandomAI,RandomAI,2,3,2025-06-04T00:00:20.235548
85,MCTSAI,RandomAI,RandomAI,3,4,2025-06-04T00:00:24.912130
86,MCTSAI,RandomAI,RandomAI,1,4,2025-06-04T00:00:29.581712
87,MCTSAI,RandomAI,RandomAI,2,3,2025-06-04T00:00:35.357425
88,MCTSAI,RandomAI,RandomAI,2,3,2025-06-04T00:00:42.775887
89,MCTSAI,RandomAI,RandomAI,1,2,2025-06-04T00:00:47.189097
90,MCTSAI,RandomAI,RandomAI,2,5,2025-06-04T00:00:53.288308
91,MCTSAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:00:59.485791
92,MCTSAI,MinimaxAI-Hard,MinimaxAI-Hard,3,4,2025-06-04T00:01:07.402294
93,MCTSAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:01:13.282875
94,MCTSAI,MinimaxAI-Hard,MinimaxAI-Hard,2,3,2025-06-04T00:01:17.757451
